language,type,aliases_count,extensions_count,filenames_count
Julia REPL,programming,0,0,0
Kaitai Struct,programming,1,1,0
KDL,data,0,1,0
KerboScript,programming,0,1,0
KFramework,programming,0,1,0
KiCad Legacy Layout,data,0,1,0
KiCad Schematic,data,1,3,0
Kickstart,data,0,1,0
Kit,markup,0,1,0
Koka,programming,0,1,0
KoLmafia ASH,programming,0,1,0
Kotlin,programming,0,3,0
KRL,programming,0,1,0
Kusto,data,0,2,0
kvlang,markup,0,1,0
LabVIEW,programming,0,3,0
Lambdapi,programming,0,1,0
Langium,programming,0,1,0
Lark,data,0,1,0
Lasso,programming,1,4,0
Latte,markup,0,1,0
Lean,programming,0,2,0
Lean 4,programming,1,1,0
Leo,programming,0,1,0
Less,markup,1,1,0
LFE,programming,0,1,0
LigoLANG,programming,0,1,0
LilyPond,programming,0,2,0
Limbo,programming,0,2,0
Linear Programming,programming,0,1,0
Linux Kernel Module,data,0,1,0
Liquid,markup,0,1,0
Liquidsoap,programming,0,1,0
Literate Agda,programming,0,1,0
Literate CoffeeScript,programming,1,2,0
Literate Haskell,programming,2,1,0
LiveCode Script,programming,0,1,0
LLVM,programming,0,1,0
Logos,programming,0,3,0
Logtalk,programming,0,2,0
LOLCODE,programming,0,1,0
LookML,programming,0,2,0
LoomScript,programming,0,1,0
LSL,programming,0,2,0
LTspice Symbol,data,0,1,0
Luau,programming,0,1,0
M,programming,1,2,0
M3U,data,2,2,0
M4,programming,0,2,0
Macaulay2,programming,1,1,0
Mako,programming,0,2,0
Marko,markup,1,1,0
Mask,markup,0,1,0
Mathematical Programming System,programming,0,1,0
MATLAB,programming,1,2,0
Max,programming,2,5,0
MAXScript,programming,0,2,0
mcfunction,programming,0,1,0
mdsvex,markup,0,1,0
MDX,markup,0,1,0
Mercury,programming,0,2,0
Mermaid,markup,1,2,0
Metal,programming,0,1,0
MeTTa,programming,0,1,0
Microsoft Developer Studio Project,data,0,1,0
Microsoft Visual Studio Solution,data,0,1,0
MiniD,programming,0,1,0
MiniYAML,data,0,2,0
MiniZinc,programming,0,1,0
MiniZinc Data,data,0,1,0
Mint,programming,0,1,0
Mirah,programming,0,3,0
mIRC Script,programming,0,1,0
MLIR,programming,0,1,0
Modelica,programming,0,1,0
Modula-2,programming,0,1,0
Modula-3,programming,0,4,0
Mojo,programming,0,1,0
Monkey,programming,0,2,0
Monkey C,programming,0,1,0
Moocode,programming,0,1,0
MoonBit,programming,0,1,0
MoonScript,programming,0,1,0
Motoko,programming,0,1,0
Motorola 68K Assembly,programming,1,5,0
Move,programming,0,1,0
MQL4,programming,0,2,0
MQL5,programming,0,2,0
MTML,markup,0,1,0
MUF,programming,0,2,0
mupad,programming,0,1,0
Muse,prose,2,1,0
Mustache,markup,0,1,0
Myghty,programming,0,1,0
Nasal,programming,0,1,0
NASL,programming,0,2,0
NCL,programming,0,1,0
Nearley,programming,0,2,0
Nemerle,programming,0,1,0
NEON,data,2,1,0
nesC,programming,0,1,0
NetLinx,programming,0,2,0
NetLinx+ERB,programming,0,2,0
NetLogo,programming,0,1,0
NewLisp,programming,0,3,0
Nickel,programming,0,1,0
Ninja,data,0,1,0
Nit,programming,0,1,0
Nix,programming,1,1,0
NL,data,0,1,0
NMODL,programming,0,1,0
Noir,programming,1,1,0
NSIS,programming,0,2,0
NumPy,programming,0,3,0
Nunjucks,markup,1,1,0
Nushell,programming,2,1,0
NWScript,programming,0,1,0
OASv2-json,data,0,1,0
OASv2-yaml,data,0,2,0
OASv3-json,data,0,1,0
OASv3-yaml,data,0,2,0
Oberon,programming,0,1,0
ObjDump,data,0,1,0
Object Data Instance Notation,data,0,1,0
Objective-C,programming,3,2,0
Objective-C++,programming,3,1,0
Objective-J,programming,3,2,0
ObjectScript,programming,0,1,0
