language,type,extensions_count,aliases_count,filenames_count
MAXScript,programming,2,0,0
Mercury,programming,2,0,0
MiniYAML,data,2,0,0
Module Management System,programming,2,0,2
Monkey,programming,2,0,0
MQL4,programming,2,0,0
MQL5,programming,2,0,0
MUF,programming,2,0,0
NASL,programming,2,0,0
Nearley,programming,2,0,0
NetLinx,programming,2,0,0
NetLinx+ERB,programming,2,0,0
Nix,programming,1,1,0
Noir,programming,1,1,0
NSIS,programming,2,0,0
Nu,programming,1,1,1
Nunjucks,markup,1,1,0
OASv2-yaml,data,2,0,0
OASv3-yaml,data,2,0,0
OMNeT++ MSG,programming,1,1,0
OMNeT++ NED,programming,1,1,0
OpenCL,programming,2,0,0
OpenStep Property List,data,2,0,0
OpenType Feature File,data,1,1,0
Option List,data,0,2,5
Parrot Assembly,programming,1,1,0
Parrot Internal Representation,programming,1,1,0
PEG.js,programming,2,0,0
Pike,programming,2,0,0
PLpgSQL,programming,2,0,0
Pod 6,prose,2,0,0
PostCSS,markup,2,0,0
Public Key,data,2,0,0
Pug,markup,2,0,0
PureBasic,programming,2,0,0
Q#,programming,1,1,0
QMake,programming,2,0,0
QML,programming,2,0,0
Raw token data,data,1,1,0
Readline Config,data,0,2,2
Reason,programming,2,0,0
Ren'Py,programming,1,1,0
RenderScript,programming,2,0,0
ReScript,programming,2,0,0
RMarkdown,prose,2,0,0
RobotFramework,programming,2,0,0
robots.txt,data,0,2,1
RPM Spec,data,1,1,0
RUNOFF,markup,2,0,0
Sage,programming,2,0,0
Simple File Verification,data,1,1,0
SmPL,programming,1,1,0
SPARQL,data,2,0,0
SQF,programming,2,0,0
SQLPL,programming,2,0,0
SuperCollider,programming,2,0,0
SurrealQL,programming,1,1,0
Tcsh,programming,2,0,0
TI Program,programming,2,0,0
TMDL,data,1,1,0
TOML,data,2,0,7
Tree-sitter Query,programming,1,1,0
TSX,programming,1,1,0
Turing,programming,2,0,0
Type Language,data,1,1,0
TypeSpec,programming,1,1,0
Typst,programming,1,1,0
V,programming,1,1,0
Vala,programming,2,0,0
Verilog,programming,2,0,0
WDL,programming,1,1,0
WebAssembly Interface Type,data,1,1,0
WebVTT,data,1,1,0
Wren,programming,1,1,0
X BitMap,data,1,1,0
X10,programming,1,1,0
XPages,data,2,0,0
XProc,programming,2,0,0
YARA,programming,2,0,0
ZAP,programming,2,0,0
Zig,programming,2,0,0
ZIL,programming,2,0,0
2-Dimensional Array,data,1,0,0
4D,programming,1,0,0
ABAP,programming,1,0,0
ABAP CDS,programming,1,0,0
ABNF,data,1,0,0
Agda,programming,1,0,0
AIDL,programming,1,0,0
Aiken,programming,1,0,0
AL,programming,1,0,0
ALGOL,programming,1,0,0
Alloy,programming,1,0,0
Answer Set Programming,programming,1,0,0
ANTLR,programming,1,0,0
API Blueprint,markup,1,0,0
Apollo Guidance Computer,programming,1,0,0
Arc,programming,1,0,0
AspectJ,programming,1,0,0
Astro,markup,1,0,0
Asymptote,programming,1,0,0
Augeas,programming,1,0,0
Avro IDL,data,1,0,0
B (Formal Method),programming,1,0,0
Ballerina,programming,1,0,0
BASIC,programming,1,0,0
Beef,programming,1,0,0
BibTeX Style,programming,1,0,0
Bikeshed,markup,1,0,0
Bison,programming,1,0,0
Boo,programming,1,0,0
Boogie,programming,1,0,0
BQN,programming,1,0,0
BrighterScript,programming,1,0,0
Brightscript,programming,1,0,0
Bru,markup,1,0,0
BuildStream,data,1,0,0
C-ObjDump,data,1,0,0
C3,programming,1,0,0
Cadence,programming,1,0,0
Cairo,programming,1,0,0
Cairo Zero,programming,1,0,0
CameLIGO,programming,1,0,0
Cangjie,programming,1,0,0
Cap'n Proto,programming,1,0,0
Carbon,programming,1,0,0
Ceylon,programming,1,0,0
Charity,programming,1,0,0
ChucK,programming,1,0,0
CIL,data,1,0,0
Circom,programming,1,0,0
Cirru,programming,1,0,0
Clarion,programming,1,0,0
Clarity,programming,1,0,0
Click,programming,1,0,0
CLIPS,programming,1,0,0
Clue,programming,1,0,0
COLLADA,data,1,0,0
Cooklang,markup,1,0,0
Cool,programming,1,0,0
CQL,programming,1,0,0
Creole,prose,1,0,0
Crystal,programming,1,0,0
CSON,data,1,0,0
CSS,markup,1,0,0
CSV,data,1,0,0
CUE,programming,1,0,0
Cue Sheet,data,1,0,0
cURL Config,data,0,1,2
Curry,programming,1,0,0
CWeb,programming,1,0,0
Cycript,programming,1,0,0
Cylc,data,1,0,1
D-ObjDump,data,1,0,0
Dafny,programming,1,0,0
Dart,programming,1,0,0
Daslang,programming,1,0,0
DataWeave,programming,1,0,0
Debian Package Control File,data,1,0,0
DenizenScript,programming,1,0,0
Dhall,programming,1,0,0
dircolors,data,1,0,6
DirectX 3D File,data,1,0,0
Dogescript,programming,1,0,0
Dotenv,data,1,0,14
E,programming,1,0,0
Earthly,programming,0,1,1
Easybuild,data,1,0,0
EBNF,data,1,0,0
Ecere Projects,data,1,0,0
ECLiPSe,programming,1,0,0
Edge,markup,1,0,0
Edje Data Collection,data,1,0,0
edn,data,1,0,0
Eiffel,programming,1,0,0
Elm,programming,1,0,0
Elvish,programming,1,0,0
EQ,programming,1,0,0
Factor,programming,1,0,2
Fantom,programming,1,0,0
Faust,programming,1,0,0
Fennel,programming,1,0,0
Filebench WML,programming,1,0,0
Filterscript,programming,1,0,0
FIRRTL,programming,1,0,0
fish,programming,1,0,0
FlatBuffers,data,1,0,0
Flix,programming,1,0,0
Fluent,programming,1,0,0
Frege,programming,1,0,0
Futhark,programming,1,0,0
Game Maker Language,programming,1,0,0
GAML,programming,1,0,0
GAMS,programming,1,0,0
GCC Machine Description,programming,1,0,0
GDScript,programming,1,0,0
GEDCOM,data,1,0,0
Genero 4gl,programming,1,0,0
Genero per,markup,1,0,0
Genie,programming,1,0,0
Gentoo Ebuild,programming,1,0,0
Gentoo Eclass,programming,1,0,0
Git Attributes,data,0,1,1
Git Commit,data,0,1,1
Git Revision List,data,0,1,1
Gleam,programming,1,0,0
Glyph,programming,1,0,0
Glyph Bitmap Distribution Format,data,1,0,0
Golo,programming,1,0,0
Grace,programming,1,0,0
Gradle,data,1,0,0
Gradle Kotlin DSL,data,1,0,0
Graph Modeling Language,data,1,0,0
HAProxy,data,1,0,1
Harbour,programming,1,0,0
Hare,programming,1,0,0
HIP,programming,1,0,0
HOCON,data,1,0,2
HolyC,programming,1,0,0
hoon,programming,1,0,0
Hosts File,data,0,1,3
HTML+PHP,markup,1,0,0
HTTP,data,1,0,0
Hurl,programming,1,0,0
HXML,data,1,0,0
HyPhy,programming,1,0,0
Imba,programming,1,0,0
Ink,programming,1,0,0
Io,programming,1,0,0
Ioke,programming,1,0,0
Isabelle,programming,1,0,0
ISPC,programming,1,0,0
J,programming,1,0,0
Jac,programming,1,0,0
Jai,programming,1,0,0
Janet,programming,1,0,0
Jasmin,programming,1,0,0
Java Properties,data,1,0,0
JavaScript+ERB,programming,1,0,0
JCL,programming,1,0,0
Jest Snapshot,data,1,0,0
Jison,programming,1,0,0
Jison Lex,programming,1,0,0
jq,programming,1,0,0
JSON5,data,1,0,0
JSONiq,programming,1,0,0
JSONLD,data,1,0,0
Julia,programming,1,0,0
KCL,programming,1,0,2
KDL,data,1,0,0
KerboScript,programming,1,0,0
KFramework,programming,1,0,0
KiCad Legacy Layout,data,1,0,0
Kickstart,data,1,0,0
Kit,markup,1,0,0
Koka,programming,1,0,0
KoLmafia ASH,programming,1,0,0
KRL,programming,1,0,0
kvlang,markup,1,0,0
Lambdapi,programming,1,0,0
Langium,programming,1,0,0
Lark,data,1,0,0
Latte,markup,1,0,0
