language,type,aliases,extensions,filenames
Glimmer TS,programming,gts,.gts,
GLSL,programming,,.glsl; .fp; .frag; .frg; .fs; .fsh; .fshader; .geo; .geom; .glslf; .glslv; .gs; .gshader; .rchit; .rmiss; .shader; .tesc; .tese; .vert; .vrx; .vs; .vsh; .vshader,
Glyph,programming,,.glf,
Glyph Bitmap Distribution Format,data,,.bdf,
GN,data,,.gn; .gni,.gn
Gnuplot,programming,,.gp; .gnu; .gnuplot; .p; .plot; .plt,
Go,programming,golang,.go,
Go Checksums,data,go.sum; go sum; go.work.sum; go work sum,,go.sum; go.work.sum
Go Module,data,go.mod; go mod,,go.mod
Go Template,markup,gotmpl,.gohtml; .gotmpl; .html.tmpl; .tmpl; .tpl,_helpers.tpl
Go Workspace,data,go.work; go work,,go.work
Godot Resource,data,,.gdnlib; .gdns; .tres; .tscn,project.godot
Golo,programming,,.golo,
Gosu,programming,,.gs; .gst; .gsx; .vark,
Grace,programming,,.grace,
Gradle,data,,.gradle,
Gradle Kotlin DSL,data,,.gradle.kts,
Grammatical Framework,programming,gf,.gf,
Graph Modeling Language,data,,.gml,
GraphQL,data,,.graphql; .gql; .graphqls,
Graphviz (DOT),data,,.dot; .gv,
Groovy,programming,,.groovy; .grt; .gtpl; .gvy,Jenkinsfile
Groovy Server Pages,programming,gsp; java server page,.gsp,
GSC,programming,,.gsc; .csc; .gsh,
Hack,programming,,.hack; .hh; .hhi; .php,
Haml,markup,,.haml; .haml.deface,
Handlebars,markup,hbs; htmlbars,.handlebars; .hbs,
HAProxy,data,,.cfg,haproxy.cfg
Harbour,programming,,.hb,
Hare,programming,,.ha,
Haskell,programming,,.hs; .hs-boot; .hsc,
Haxe,programming,,.hx; .hxsl,
HCL,programming,HashiCorp Configuration Language; opentofu; terraform,.hcl; .nomad; .tf; .tfvars; .tofu; .workflow,
HIP,programming,,.hip,
HiveQL,programming,,.q; .hql,
HLSL,programming,,.hlsl; .cginc; .fx; .fxh; .hlsli,
HOCON,data,,.hocon,.scalafix.conf; .scalafmt.conf
HolyC,programming,,.hc,
hoon,programming,,.hoon,
Hosts File,data,hosts,,HOSTS; hosts; hosts.txt
HTML,markup,xhtml,.html; .hta; .htm; .html.hl; .inc; .xht; .xhtml,
HTML+ECR,markup,ecr,.ecr,
HTML+EEX,markup,eex; heex; leex,.html.eex; .heex; .leex,
HTML+ERB,markup,erb; rhtml; html+ruby,.erb; .erb.deface; .rhtml,
HTML+PHP,markup,,.phtml,
HTML+Razor,markup,razor,.cshtml; .razor,
HTTP,data,,.http,
Hurl,programming,,.hurl,
HXML,data,,.hxml,
Hy,programming,hylang,.hy,
HyPhy,programming,,.bf,
iCalendar,data,iCal,.ics; .ical,
IDL,programming,,.pro; .dlm,
Idris,programming,,.idr; .lidr,
Ignore List,data,ignore; gitignore; git-ignore,.gitignore,.atomignore; .babelignore; .bzrignore; .coffeelintignore; .cvsignore; .dockerignore; .easignore; .eleventyignore; .eslintignore; .gitignore; .ignore; .markdownlintignore; .nodemonignore; .npmignore; .prettierignore; .stylelintignore; .vercelignore; .vscodeignore; gitignore-global; gitignore_global
IGOR Pro,programming,igor; igorpro,.ipf,
ImageJ Macro,programming,ijm,.ijm,
Imba,programming,,.imba,
Inform 7,programming,i7; inform7,.ni; .i7x,
INI,data,dosini,.ini; .cfg; .cnf; .dof; .frm; .lektorproject; .prefs; .pro; .properties; .url,.buckconfig; .coveragerc; .flake8; .pylintrc; HOSTS; buildozer.spec; hosts; pylintrc; vlcrc
Ink,programming,,.ink,
Inno Setup,programming,,.iss; .isl,
Io,programming,,.io,
Ioke,programming,,.ik,
IRC log,data,irc; irc logs,.irclog; .weechatlog,
Isabelle,programming,,.thy,
Isabelle ROOT,programming,,,ROOT
ISPC,programming,,.ispc,
J,programming,,.ijs,
Jac,programming,,.jac,
Jai,programming,,.jai,
Janet,programming,,.janet,
JAR Manifest,data,,,MANIFEST.MF
Jasmin,programming,,.j,
Java,programming,,.java; .jav; .jsh,
Java Properties,data,,.properties,
